"X.1","X","Platform","AlbumNo","Album","Song","Streams"
31,"21 Savage","Last.fm",1,"The_Slaughter_Tape","Track3",13110
32,"21 Savage","Last.fm",1,"The_Slaughter_Tape","Track4",11702
33,"21 Savage","Last.fm",1,"The_Slaughter_Tape","Track5",NA
34,"21 Savage","Last.fm",1,"The_Slaughter_Tape","Track6",11157
35,"21 Savage","Last.fm",1,"The_Slaughter_Tape","Track7",1629
36,"21 Savage","Last.fm",1,"The_Slaughter_Tape","Track8",7121
37,"21 Savage","Last.fm",1,"The_Slaughter_Tape","Track9",1330
38,"21 Savage","Last.fm",1,"The_Slaughter_Tape","Track10",6937
39,"21 Savage","Last.fm",1,"The_Slaughter_Tape","Track11",1136
40,"21 Savage","Last.fm",1,"The_Slaughter_Tape","Track12",6482
41,"21 Savage","Last.fm",1,"The_Slaughter_Tape","Track13",6858
42,"21 Savage","Last.fm",1,"The_Slaughter_Tape","Track14",7793
43,"21 Savage","Genius",1,"The_Slaughter_Tape","Track1",141203
44,"21 Savage","Genius",1,"The_Slaughter_Tape","Track2",20071
45,"21 Savage","Genius",1,"The_Slaughter_Tape","Track3",40991
46,"21 Savage","Genius",1,"The_Slaughter_Tape","Track4",22472
47,"21 Savage","Genius",1,"The_Slaughter_Tape","Track5",54355
48,"21 Savage","Genius",1,"The_Slaughter_Tape","Track6",35806
49,"21 Savage","Genius",1,"The_Slaughter_Tape","Track7",10975
50,"21 Savage","Genius",1,"The_Slaughter_Tape","Track8",9114
51,"21 Savage","Genius",1,"The_Slaughter_Tape","Track9",12510
